aerial_crafts/4619_transport-23+271347_helicopter-aircraft,What type of vehicle is depicted in the image?,Helicopter,Airplane,Car,Boat,A,aerial_crafts
book/2822_museum-3+179158_book-book,What is the primary color of the background in the image?,Red,Blue,Green,Yellow,B,book
food/1196_color-kitchen-stuff+26536_taco,What shape is the main body of the object?,Circular,Rectangular,Semi-circular,Triangular,C,food
computer/379_technology-set+23419_servers,What is the object in the image?,Bookshelf,rack,cabinet,Refrigerator,B,computer
beverage/2875_coffee-shop-7+184478_coffee-cup-food,What is the object in the image commonly used for?,Writing,Drinking,Cooking,Reading,B,beverage
tool/3462_autumn-elements-3+211961_rake-pitchfork,What is the orientation of the prongs relative to the handle?,Parallel,Perpendicular,Diagonal,Curved,A,tool
entertainment/1194_diving-equipment+145102_goggles,What shape best describes the overall outline of the object?,Circle,Square,Rectangle,Oval,D,entertainment
aerial_crafts/4620_transport-24+271431_airplane-plane,What is the object in the image?,Car,Airplane,Boat,Train,B,aerial_crafts
land_crafts/4437_spring-4+261741_bicycle,What color is the front wheel of the object?,Yellow,Blue,Red,Green,A,land_crafts
land_crafts/59_transport-set-2+64845_taxi,What type of object is depicted in the image?,Bicycle,Airplane,Car,Boat,C,land_crafts
building/3691_employees-organization+223733_building-skyscraper,How many windows are visible on the object?,2,3,5,4,D,building
musical_instrument/2496_audio+159489_drums,How many drumsticks are shown in the image?,One,Two,Three,Four,B,musical_instrument
human/3222_kindergarten-pictograms+199626_playground,What is the figure in the image doing?,Climbing,Running,Sliding,Jumping,C,human
building/3390_hotel-services-6+208824_building-town,What type of building does the object resemble?,School,Hospital,Skyscraper,Apartment,D,building
animal/2086_grand-circus+58820_circus-elephant,What shape is the ear of the object?,Circle,Square,Triangle,Rectangle,A,animal
fruit/5305_food-and-drinks-infographic-icons+307575_banana-fruit-peel,What type of fruit is depicted in the image?,Apple,Banana,Orange,Grape,B,fruit
human/1084_school-pictograms+52538_student,What is the object in the top right corner of the image?,clock,sun,moon,star,A,human
entertainment/1080_sports-11+63288_baseball,How many horizontal lines are there in the middle section of the object?,One,Two,Three,Four,B,entertainment
tool/2837_back-to-school-12+182033_sharpener-sharpener,What shape is the background of the object?,Square,Circle,Triangle,Hexagon,B,tool
